날짜,종가,전일비,시가,고가,저가,거래량
2022.05.13,66500,"상승  1,600",65300,66700,65200,14551536
2022.05.12,64900,하락  800,65200,65500,64900,16414188
2022.05.11,65700,보합0,65500,66300,65200,12330920
2022.05.10,65700,하락  400,65900,66300,65300,17235605
2022.05.09,66100,하락  400,66300,66900,66100,11858736
2022.05.06,66500,"하락  1,400",67000,67100,66500,14356156
2022.05.04,67900,상승  400,68000,68400,67500,11505248
2022.05.03,67500,상승  200,67400,68400,67300,14168875
2022.05.02,67300,하락  100,66600,67600,66500,14106184
2022.04.29,67400,"상승  2,600",65100,67600,65000,26190390
2022.04.28,64800,하락  200,65400,65500,64500,16895527
2022.04.27,65000,"하락  1,100",65400,65500,64900,18122084
2022.04.26,66100,하락  200,66400,66700,66100,12946923
2022.04.25,66300,하락  700,66500,66700,66300,11016474
2022.04.22,67000,하락  700,67200,67300,66700,11791478
2022.04.21,67700,상승  300,67600,68300,67500,12847448
2022.04.20,67400,상승  100,67000,67400,66500,16693293
2022.04.19,67300,상승  600,67100,68000,67000,12959434
2022.04.18,66700,상승  100,66500,67100,66100,10119203
2022.04.15,66600,하락  900,67200,67300,66500,13176415
2022.04.14,67500,"하락  1,200",68700,68700,67500,16409494
2022.04.13,68700,"상승  1,700",67300,69000,67200,17378619
2022.04.12,67000,하락  900,67600,67700,67000,13924389
2022.04.11,67900,상승  100,67800,68100,67400,12263735
2022.04.08,67800,하락  200,68100,68300,67700,15453191
2022.04.07,68000,하락  500,68500,68500,68000,20683327
2022.04.06,68500,하락  700,68600,68800,68500,15517308
2022.04.05,69200,하락  100,69400,69600,69100,8467248
2022.04.04,69300,상승  200,68900,69300,68600,11107905
2022.04.01,69100,하락  500,69500,69500,69000,15916846
2022.03.31,69600,하락  300,69900,70200,69600,12510366
2022.03.30,69900,하락  300,70300,70500,69800,12670187
2022.03.29,70200,상승  500,70000,70300,69800,13686208
2022.03.28,69700,하락  100,69500,69900,69200,12619289
2022.03.25,69800,보합0,70100,70200,69600,12986010
2022.03.24,69800,하락  700,69600,70300,69600,37943357
2022.03.23,70500,상승  200,70600,71200,70300,12398025
2022.03.22,70300,상승  400,69900,70500,69900,9402666
2022.03.21,69900,하락  800,70900,71000,69900,11169002
2022.03.18,70700,하락  500,70600,70900,70200,14410038
2022.03.17,71200,상승  800,71200,71800,70900,17646315
2022.03.16,70400,상승  900,70200,70500,69700,10175750
2022.03.15,69500,하락  700,69800,70100,69500,10258562
2022.03.14,70200,상승  200,70000,70200,69600,9040993
2022.03.11,70000,"하락  1,200",70500,70700,69700,15787655
2022.03.10,71200,"상승  1,700",70800,71200,70500,21159248
2022.03.08,69500,하락  600,68800,70000,68700,15828269
2022.03.07,70100,"하락  1,400",70000,70600,69900,18617138
2022.03.04,71500,"하락  1,400",72700,72700,71200,13409634
2022.03.03,72900,"상승  1,200",72300,73100,72200,13232638
2022.03.02,71700,하락  400,72300,72400,71500,12481430
2022.02.28,72100,상승  200,71100,72100,71000,17781783
2022.02.25,71900,상승  400,72100,72600,71900,13168484
2022.02.24,71500,"하락  1,500",72300,72300,71300,15759283
2022.02.23,73000,하락  400,73800,73800,72800,10397964
2022.02.22,73400,하락  800,73000,73400,72800,11692469
2022.02.21,74200,하락  100,73200,74300,72600,10489717
2022.02.18,74300,하락  700,74600,74800,73700,10122226
2022.02.17,75000,상승  200,75000,75600,74500,13605382
2022.02.16,74800,"상승  1,100",74600,74900,74200,10767386
2022.02.15,73700,보합0,74100,74200,73100,9320365
2022.02.14,73700,"하락  1,200",74400,74500,73100,13993255
2022.02.11,74900,하락  500,75000,75500,74600,12205407
2022.02.10,75400,상승  700,75600,75800,74700,17746033
2022.02.09,74700,"상승  1,200",74300,74700,74000,9699122
2022.02.08,73500,상승  500,73800,74200,73000,11736666
2022.02.07,73000,"하락  1,000",73500,73600,72400,14240838
2022.02.04,74000,상승  700,74300,74600,73400,12730034
2022.02.03,73300,보합0,74900,74900,73300,17744721
2022.01.28,73300,"상승  2,000",71300,73700,71200,21367447
2022.01.27,71300,"하락  2,000",73800,74000,71300,22274777
2022.01.26,73300,하락  700,73900,74400,73100,12976730
2022.01.25,74000,"하락  1,100",74800,75000,73200,17766704
2022.01.24,75100,하락  500,75400,75800,74700,13691134
2022.01.21,75600,하락  900,75800,75800,74700,15774888
2022.01.20,76500,상승  200,76200,76700,75900,9708168
2022.01.19,76300,하락  700,76500,76900,76100,10598290
2022.01.18,77000,하락  500,77600,77800,76600,9592788
2022.01.17,77500,상승  200,77600,77800,76900,8785122
2022.01.14,77300,하락  600,77700,78100,77100,10096725
2022.01.13,77900,"하락  1,000",79300,79300,77900,13889401
2022.01.12,78900,보합0,79500,79600,78600,11000502
2022.01.11,78900,상승  900,78400,79000,78000,13221123
2022.01.10,78000,하락  300,78100,78100,77100,9947422
2022.01.07,78300,"상승  1,400",78100,78400,77400,15163757
2022.01.06,76900,하락  500,76700,77600,76600,12931954
2022.01.05,77400,"하락  1,300",78800,79000,76400,25470640
2022.01.04,78700,상승  100,78800,79200,78300,12427416
2022.01.03,78600,상승  300,79400,79800,78200,13502112
2021.12.30,78300,하락  500,78900,79500,78100,14236700
2021.12.29,78800,"하락  1,500",80200,80200,78500,19794795
2021.12.28,80300,상승  100,80200,80400,79700,18226325
2021.12.27,80200,하락  300,80600,80600,79800,10783368
2021.12.24,80500,상승  600,80200,80800,80200,12086380
2021.12.23,79900,상승  500,79800,80000,79300,13577498
2021.12.22,79400,"상승  1,300",78900,79400,78800,17105892
2021.12.21,78100,"상승  1,000",77900,78300,77500,14245298
2021.12.20,77100,하락  900,77600,77800,76800,11264375
2021.12.17,78000,상승  200,76800,78000,76800,13108479
2021.12.16,77800,상승  200,78500,78500,77400,11996128
2021.12.15,77600,상승  600,76400,77600,76300,9584939
2021.12.14,77000,상승  200,76500,77200,76200,10976660
2021.12.13,76800,하락  100,77200,78300,76500,15038750
2021.12.10,76900,"하락  1,300",77400,77600,76800,9155219
2021.12.09,78200,상승  800,77400,78200,77000,21604528
2021.12.08,77400,보합0,78300,78600,77100,21558340
2021.12.07,77400,"상승  1,100",76100,77700,75600,19232453
2021.12.06,76300,상승  700,75100,76700,74900,16391250
2021.12.03,75600,하락  200,75600,76000,74100,18330240
2021.12.02,75800,"상승  1,400",73900,75800,73800,23652940
2021.12.01,74400,"상승  3,100",72000,74800,71600,21954856
2021.11.30,71300,"하락  1,000",73200,73900,70500,30364841
2021.11.29,72300,보합0,71700,73000,71400,16682559
2021.11.26,72300,"하락  1,400",73500,74100,72000,13002242
2021.11.25,73700,"하락  1,100",75100,75100,73600,12559258
2021.11.24,74800,하락  500,76000,76200,74100,15652305
2021.11.23,75300,상승  400,76000,76000,74500,22029195
2021.11.22,74900,"상승  3,700",73300,75200,73000,27506623
2021.11.19,71200,"상승  1,000",70400,71400,70100,11954728
2021.11.18,70200,하락  500,70700,71000,70200,10144957
2021.11.17,70700,하락  600,71300,71600,70600,11027606
2021.11.16,71300,하락  100,71500,72000,71300,10919239
2021.11.15,71400,상승  800,71700,71900,70900,12420710
2021.11.12,70600,상승  700,70200,70900,69900,10087450
2021.11.11,69900,하락  300,69900,70000,69600,11489122
2021.11.10,70200,하락  300,70300,70900,70200,9422009
2021.11.09,70500,하락  100,70300,71000,70100,11159589
2021.11.08,70600,상승  400,70400,70600,69800,11121981
2021.11.05,70200,하락  400,71600,71600,70200,12667743
2021.11.04,70600,상승  200,71200,71600,70500,11818987
2021.11.03,70400,"하락  1,100",71700,71700,70100,12770428
2021.11.02,71500,"상승  1,600",70800,72200,70700,16812570
2021.11.01,69900,상승  100,70200,70600,69900,11503729
2021.10.29,69800,하락  900,71200,71600,69700,17016151
2021.10.28,70700,상승  600,69500,72200,69500,20644902
2021.10.27,70100,"하락  1,000",71000,71000,70000,10295316
2021.10.26,71100,상승  900,70600,71500,70400,10528252
2021.10.25,70200,하락  200,69900,70600,69500,10029621
2021.10.22,70400,상승  200,70000,70700,70000,8395448
2021.10.21,70200,하락  100,70300,70600,70000,10891094
2021.10.20,70300,하락  300,70700,71000,70200,10151638
2021.10.19,70600,상승  400,70800,71000,70400,9507991
2021.10.18,70200,상승  100,70200,70300,69200,13486391
2021.10.15,70100,상승  700,70200,71000,70000,18051612
2021.10.14,69400,상승  600,69000,69800,68800,19520641
2021.10.13,68800,하락  200,68700,69600,68300,24172015
2021.10.12,69000,"하락  2,500",70700,70900,68700,31001484
2021.10.08,71500,하락  100,72300,72400,71500,14043287
2021.10.07,71600,상승  300,71600,72100,71300,13683532
2021.10.06,71300,하락  900,72600,72800,71200,18956962
2021.10.05,72200,"하락  1,000",73000,73000,71400,24013921
2021.10.01,73200,하락  900,73900,74000,72900,15803395
2021.09.30,74100,보합0,74300,74800,73700,19919361
2021.09.29,74100,"하락  2,200",74800,75300,73800,23992458
2021.09.28,76300,"하락  1,400",77700,77800,76200,15406382
2021.09.27,77700,상승  400,77300,77700,77000,11699798
2021.09.24,77300,하락  100,77600,77700,77100,12247274
2021.09.23,77400,상승  200,77500,77600,76800,17055590
2021.09.17,77200,"상승  1,100",76300,77200,75900,16289502
2021.09.16,76100,하락  900,77300,77400,76100,13067622
2021.09.15,77000,상승  400,77400,77400,76400,12829128
2021.09.14,76600,상승  300,77100,77700,76600,18167057
2021.09.13,76300,"상승  1,000",75200,76300,75100,11397775
2021.09.10,75300,보합0,75300,75600,74800,10103212
2021.09.09,75300,"하락  1,000",76400,76600,75000,17600770
2021.09.08,76300,상승  200,76000,76400,75600,11798147
2021.09.07,76100,"하락  1,200",77100,77100,75900,13239401
2021.09.06,77300,상승  700,76800,77600,76600,12861180
2021.09.03,76600,상승  600,76400,76700,76000,12096419
2021.09.02,76000,하락  800,76800,76800,75700,15347486
2021.09.01,76800,상승  100,76700,77100,75900,16114775
2021.08.31,76700,"상승  2,100",74900,76700,74300,24630370
2021.08.30,74600,상승  300,75400,75500,74200,12686999
2021.08.27,74300,하락  300,74300,75000,73800,15172748
2021.08.26,74600,"하락  1,100",76100,76200,74600,16671494
2021.08.25,75700,상승  100,76200,76600,74900,22319664
2021.08.24,75600,"상승  2,300",73900,75700,73900,21016913
2021.08.23,73300,상승  600,73300,74000,73000,19384648
2021.08.20,72700,하락  400,73500,73900,72500,22364803
2021.08.19,73100,하락  800,73500,74400,73100,22166298
2021.08.18,73900,하락  300,73900,74600,73100,29192631
2021.08.17,74200,하락  200,74000,75100,74000,30944847
2021.08.13,74400,"하락  2,600",75800,76000,74100,61270643
2021.08.12,77000,"하락  1,500",77100,78200,76900,42365223
2021.08.11,78500,"하락  1,700",79600,79800,78500,30241137
2021.08.10,80200,"하락  1,300",82300,82400,80100,20362639
2021.08.09,81500,보합0,81500,82300,80900,15522581
2021.08.06,81500,하락  600,81900,82500,81300,13342623
2021.08.05,82100,하락  800,83300,83300,82000,18485469
2021.08.04,82900,"상승  1,500",82200,83100,81800,25642368
2021.08.03,81400,"상승  2,100",79400,81400,79300,24339360
2021.08.02,79300,상승  800,79200,79500,78700,11739124
2021.07.30,78500,하락  500,78900,78900,78500,13823411
2021.07.29,79000,하락  200,78800,79400,78800,14360453
2021.07.28,79200,상승  700,78300,79200,78100,12743417
2021.07.27,78500,하락  300,79200,79400,78500,11427693
2021.07.26,78800,하락  500,79400,79500,78800,10040975
2021.07.23,79300,하락  400,79700,79900,79200,9098910
2021.07.22,79700,"상승  1,200",79000,79800,78900,12618790
2021.07.21,78500,하락  500,79000,79100,78500,12355296
2021.07.20,79000,보합0,78500,79000,78400,12456646
2021.07.19,79000,하락  800,79100,79200,78800,13155414
2021.07.16,79800,하락  800,80100,80100,79500,10859399
2021.07.15,80600,"상승  1,100",79800,80600,79500,13766279
2021.07.14,79500,하락  300,79400,79600,79100,11575636
2021.07.13,79800,상승  100,80000,80200,79800,9863450
2021.07.12,79700,상승  300,79900,80000,79500,9768108
2021.07.09,79400,하락  500,79600,79800,79000,22720577
2021.07.08,79900,하락  900,81100,81200,79900,16660998
2021.07.07,80800,하락  400,81200,81300,80300,15992202
2021.07.06,81200,상승  800,80600,81200,80500,12131651
2021.07.05,80400,상승  400,80100,80800,80000,8330969
2021.07.02,80000,하락  100,80000,80400,79900,8753097
2021.07.01,80100,하락  600,80500,80600,80000,13382882
2021.06.30,80700,하락  300,81100,81400,80700,13288643
2021.06.29,81000,하락  900,81900,82100,80800,15744317
2021.06.28,81900,상승  300,81700,82000,81600,11578529
2021.06.25,81600,상승  400,81500,81900,81200,13481405
2021.06.24,81200,"상승  1,100",80400,81400,80100,18771080
2021.06.23,80100,상승  100,80500,80600,79900,13856548
2021.06.22,80000,상승  100,80200,80300,79900,11773365
2021.06.21,79900,하락  600,79700,80000,79600,16063340
2021.06.18,80500,하락  400,81100,81100,80500,14916721
2021.06.17,80900,하락  900,81100,81300,80700,14007385
2021.06.16,81800,상승  900,81500,81900,81100,14999855
2021.06.15,80900,상승  400,80900,81200,80600,10075685
2021.06.14,80500,하락  500,80800,80900,80500,10550078
2021.06.11,81000,보합0,81200,81700,80700,14087962
2021.06.10,81000,하락  100,81300,81400,80900,17586995
2021.06.09,81100,하락  800,81500,82000,81100,14908823
2021.06.08,81900,보합0,82300,82600,81800,12781226
2021.06.07,81900,하락  300,82700,82800,81600,16496197
2021.06.04,82200,하락  600,82700,82700,81500,18112259
2021.06.03,82800,"상승  2,000",81300,83000,81100,29546007
2021.06.02,80800,상승  200,80400,81400,80300,16414644
2021.06.01,80600,상승  100,80500,81300,80100,14058401
2021.05.31,80500,상승  400,80300,80600,79600,13321324
2021.05.28,80100,상승  500,79800,80400,79400,12360199
2021.05.27,79600,하락  200,80000,80000,79100,23198510
2021.05.26,79800,하락  100,80400,80500,79700,11984359
2021.05.25,79900,상승  200,80000,80400,79800,13628942
2021.05.24,79700,하락  400,80100,80400,79500,13398666
2021.05.21,80100,상승  600,80100,81500,79800,20961714
2021.05.20,79500,하락  100,79400,79700,79100,16541828
2021.05.18,79600,보합0,79600,80000,79100,17494407
2021.05.17,79600,하락  500,80800,80900,79200,17740855
2021.05.14,80100,"상승  1,600",79000,80300,78900,16450920
2021.05.13,78500,"하락  1,500",78900,79600,78400,31490096
2021.05.12,80000,"하락  1,200",80800,81200,79800,35812268
2021.05.11,81200,"하락  2,000",82500,82600,81100,28996680
2021.05.10,83200,"상승  1,300",82300,83500,81800,19385027
2021.05.07,81900,하락  400,81800,82100,81500,14154882
2021.05.06,82300,하락  300,81700,82300,81700,17047511
2021.05.04,82600,상승  900,81900,82600,81800,12532550
2021.05.03,81700,상승  200,81000,82400,81000,15710336
2021.04.30,81500,하락  200,81900,82100,81500,18673197
2021.04.29,81700,하락  400,82400,82500,81500,20000973
2021.04.28,82100,하락  800,83200,83200,82100,15596759
2021.04.27,82900,하락  600,83200,83300,82500,12941533
2021.04.26,83500,상승  700,82900,83500,82600,15489938
2021.04.23,82800,상승  400,81900,82900,81600,17805080
2021.04.22,82400,하락  200,82900,83000,82400,13934746
2021.04.21,82600,"하락  1,300",83300,83500,82500,21636079
2021.04.20,83900,상승  600,83300,84000,83100,15521965
2021.04.19,83300,하락  600,83800,84000,83300,15287311
2021.04.16,83900,하락  200,84700,84700,83600,15429522
2021.04.15,84100,상승  100,83700,84500,83400,16377412
2021.04.14,84000,보합0,84000,84300,83400,13794652
2021.04.13,84000,상승  800,83000,84500,82800,15238206
2021.04.12,83200,하락  400,84100,84100,83100,12915282
2021.04.09,83600,"하락  1,100",84700,84900,83400,18193707
2021.04.08,84700,하락  900,85700,85700,84100,19244259
2021.04.07,85600,하락  400,86100,86200,85400,17885538
2021.04.06,86000,상승  600,86200,86200,85100,19042023
2021.04.05,85400,상승  600,85800,86000,84800,16255990
2021.04.02,84800,"상승  1,900",84000,85200,83900,22997538
2021.04.01,82900,"상승  1,500",82500,83000,82000,18676461
2021.03.31,81400,하락  800,82400,82700,81400,17240518
2021.03.30,82200,상승  600,81600,82300,81300,13121698
2021.03.29,81600,상승  100,81700,81700,81000,14952134
2021.03.26,81500,상승  300,81400,81600,81000,12845778
2021.03.25,81200,상승  200,81000,82100,80800,14758826
2021.03.24,81000,하락  800,81000,81600,80700,17926638
2021.03.23,81800,하락  200,82600,82900,81800,13299907
2021.03.22,82000,상승  100,82000,82300,81700,12670506
2021.03.19,81900,"하락  1,000",82100,82500,81800,15869700
2021.03.18,82900,상승  600,82800,83800,82600,18585244
2021.03.17,82300,하락  500,82800,82900,82000,11625146
2021.03.16,82800,"상승  1,000",82200,83000,82100,12293537
2021.03.15,81800,"하락  1,000",82800,82900,81800,13735798
2021.03.12,82800,상승  800,83100,83500,82400,13530573
2021.03.11,82000,"상승  1,100",81000,82500,81000,23818297
2021.03.10,80900,하락  500,82400,82500,80700,20038422
2021.03.09,81400,하락  600,81400,81900,80600,25420764
2021.03.08,82000,하락  100,82900,83000,81600,17641256
2021.03.05,82100,하락  300,81100,82600,81100,20508971
2021.03.04,82400,"하락  1,600",82600,83200,82200,24348331
2021.03.03,84000,상승  400,83500,84000,82800,19882132
2021.03.02,83600,"상승  1,100",85100,85300,83000,33498180
2021.02.26,82500,"하락  2,800",82800,83400,82000,38520800
2021.02.25,85300,"상승  3,300",84000,85400,83000,34155986
2021.02.24,82000,보합0,81800,83600,81300,26807651
2021.02.23,82000,하락  200,81200,82900,81100,20587314
2021.02.22,82200,하락  400,83800,84200,82200,25419886
2021.02.19,82600,상승  500,82300,82800,81000,25880879
2021.02.18,82100,"하락  1,100",83200,83600,82100,21327683
2021.02.17,83200,"하락  1,700",83900,84200,83000,18307735
2021.02.16,84900,상승  700,84500,86000,84200,20483100
2021.02.15,84200,"상승  2,600",83800,84500,83300,23529706
2021.02.10,81600,"하락  1,100",82600,82600,81600,23025766
2021.02.09,82700,하락  300,84000,84800,82700,20898332
2021.02.08,83000,하락  500,83800,84200,83000,15338765
2021.02.05,83500,"상승  1,000",83100,84000,82500,18036835
2021.02.04,82500,"하락  2,100",83500,83800,82100,24171688
2021.02.03,84600,상승  200,84800,85400,83400,22112205
2021.02.02,84400,"상승  1,400",84100,86400,83700,26302077
2021.02.01,83000,"상승  1,000",81700,83400,81000,28046832
2021.01.29,82000,"하락  1,700",84500,85000,82000,39615978
2021.01.28,83700,"하락  1,900",83200,85600,83200,31859808
2021.01.27,85600,"하락  1,100",86600,87700,85600,26423070
2021.01.26,86700,"하락  2,700",88800,89200,86500,33178936
2021.01.25,89400,"상승  2,600",87000,89900,86300,27258534
2021.01.22,86800,"하락  1,300",89000,89700,86800,30861661
2021.01.21,88100,상승  900,87500,88600,86500,25318011
2021.01.20,87200,상승  200,89000,89000,86500,25211127
2021.01.19,87000,"상승  2,000",84500,88000,83600,39895044
2021.01.18,85000,"하락  3,000",86600,87300,84100,43227951
2021.01.15,88000,"하락  1,700",89800,91800,88000,33431809
2021.01.14,89700,보합0,88700,90000,88700,26393970
2021.01.13,89700,하락  900,89800,91200,89100,36068848
2021.01.12,90600,하락  400,90300,91400,87800,48682416
2021.01.11,91000,"상승  2,200",90000,96800,89500,90306177
2021.01.08,88800,"상승  5,900",83300,90000,83000,59013307
2021.01.07,82900,상승  700,82800,84200,82700,32644642
2021.01.06,82200,"하락  1,700",83300,84500,82100,42089013
2021.01.05,83900,상승  900,81600,83900,81600,35335669
2021.01.04,83000,"상승  2,000",81000,84400,80200,38655276
2020.12.30,81000,"상승  2,700",77400,81300,77300,29417421
2020.12.29,78300,하락  400,78800,78900,77300,30339449
2020.12.28,78700,상승  900,79000,80100,78200,40085044
2020.12.24,77800,"상승  3,900",74100,78800,74000,32502870
2020.12.23,73900,"상승  1,600",72400,74000,72300,19411326
2020.12.22,72300,하락  700,72500,73200,72100,16304910
2020.12.21,73000,보합0,73100,73400,72000,20367355
2020.12.18,73000,하락  300,73300,73700,73000,17613029
2020.12.17,73300,하락  500,73400,73700,72600,24293214
2020.12.16,73800,보합0,74100,74500,73400,17512081
2020.12.15,73800,보합0,73800,74100,73300,20863671
2020.12.14,73800,상승  400,73600,74500,73200,21510415
2020.12.11,73400,상승  500,73500,73800,73100,18486672
2020.12.10,72900,"하락  1,000",72700,73800,72500,39882928
2020.12.09,73900,"상승  2,200",72100,73900,72000,24077996
2020.12.08,71700,"하락  1,200",72200,72900,71600,25000338
2020.12.07,72900,"상승  1,400",72400,73500,71900,28490496
2020.12.04,71500,"상승  1,800",70400,72100,70100,28130533
2020.12.03,69700,상승  200,70100,70500,69300,23677989
2020.12.02,69500,"상승  1,700",68400,69900,68300,29703942
2020.12.01,67800,"상승  1,100",67100,68300,67100,22327173
2020.11.30,66700,"하락  1,500",68400,68600,66700,43811016
2020.11.27,68200,상승  200,68000,68400,67600,14063434
2020.11.26,68000,"상승  1,400",66100,68000,66000,19023323
2020.11.25,66600,"하락  1,100",67900,68300,66500,32447065
2020.11.24,67700,상승  200,67900,69500,67000,32158235
2020.11.23,67500,"상승  2,800",64800,67800,64700,27134398
2020.11.20,64700,상승  100,63900,65200,63900,15068682
2020.11.19,64600,하락  200,64100,64800,63900,16590290
2020.11.18,64800,하락  900,65700,66200,64700,22963790
2020.11.17,65700,하락  600,67000,67000,65600,30204089
2020.11.16,66300,"상승  3,100",64000,66700,63900,36354334
2020.11.13,63200,"상승  2,200",61300,63200,61000,31508829
2020.11.12,61000,하락  300,61000,61400,60700,19800573
2020.11.11,61300,"상승  1,100",60700,61400,60400,25628510
2020.11.10,60200,보합0,60500,60500,59500,19073552
2020.11.09,60200,상승  100,60700,60900,60100,15892961
2020.11.06,60100,하락  200,60700,60800,59600,16910230
2020.11.05,60300,"상승  1,800",59000,60300,58800,20639475
2020.11.04,58500,하락  300,58900,59000,57800,21718561
2020.11.03,58800,"상승  1,400",57900,58900,57600,14950919
2020.11.02,57400,상승  800,56400,57500,56000,20489076
2020.10.30,56600,"하락  1,500",58000,58000,56600,26907844
2020.10.29,58100,하락  900,58200,58500,57500,22636966
2020.10.28,59000,하락  800,59400,59400,58800,14428882
2020.10.27,59800,하락  600,60300,60300,59500,17260416
2020.10.26,60400,상승  200,60400,61100,60100,13268226
2020.10.23,60200,상승  100,60400,60400,59800,9322232
2020.10.22,60100,하락  800,60300,60500,59800,14294095
2020.10.21,60900,보합0,61200,61500,60600,15703443
2020.10.20,60900,상승  900,60300,60900,60100,19326115
2020.10.19,60000,상승  500,59600,60200,59500,14474985
2020.10.16,59500,하락  500,60000,60400,59000,16554190
2020.10.15,60000,하락  900,60700,60800,59700,17756232
2020.10.14,60900,보합0,61000,61100,60500,16086716
2020.10.13,60900,상승  500,61000,61400,60400,19247631
2020.10.12,60400,상승  700,60000,60400,59900,16145837
2020.10.08,59700,하락  200,60500,60700,59500,24589924
2020.10.07,59900,상승  900,58700,59900,58500,14861838
2020.10.06,59000,상승  300,59400,59900,58700,14463826
2020.10.05,58700,상승  500,57500,59200,57500,20228289
2020.09.29,58200,보합0,58300,59000,58200,15503563
2020.09.28,58200,상승  300,58300,58800,57900,12614080
2020.09.25,57900,상승  100,57700,58200,57700,11444683
2020.09.24,57800,하락  800,57700,58600,57600,17564020
2020.09.23,58600,상승  400,58400,58800,57400,20111398
2020.09.22,58200,"하락  1,000",59100,59700,57800,20830381
2020.09.21,59200,하락  100,59100,60000,59000,15140387
2020.09.18,59300,하락  200,59800,59900,59100,18884571
2020.09.17,59500,"하락  1,500",60700,60800,59300,25108356
2020.09.16,61000,보합0,61100,61300,60600,17041444
2020.09.15,61000,상승  600,60900,61000,60500,17877075
2020.09.14,60400,"상승  1,400",60200,60800,59900,20648281
2020.09.11,59000,하락  200,59300,59400,58200,16017098
2020.09.10,59200,상승  800,59900,60000,59100,29923293
2020.09.09,58400,하락  300,58200,59300,57800,30597399
2020.09.08,58700,"상승  2,200",57400,58700,57200,31517520
2020.09.07,56500,상승  900,56100,57300,55800,18685880
2020.09.04,55600,하락  800,55200,55800,55100,22139109
2020.09.03,56400,"상승  2,000",55600,56700,55500,28384920
2020.09.02,54400,상승  200,54600,55100,54100,16905723
2020.09.01,54200,상승  200,54100,54800,54100,19363117
2020.08.31,54000,"하락  1,400",56000,56100,54000,32671367
2020.08.28,55400,하락  200,56100,56300,55400,14619888
2020.08.27,55600,하락  800,56300,56300,55600,16196568
2020.08.26,56400,보합0,56400,56500,55700,17651593
2020.08.25,56400,상승  300,56400,56800,56100,14021705
2020.08.24,56100,상승  200,55800,56600,55400,15055896
2020.08.21,55900,상승  500,56200,56900,55800,21142288
2020.08.20,55400,"하락  2,400",57600,57600,55300,30386029
2020.08.19,57800,하락  600,59000,59200,57800,16930719
2020.08.18,58400,상승  400,58900,59900,58000,25307825
2020.08.14,58000,하락  700,58000,58400,57700,15672548
2020.08.13,58700,하락  300,59400,59600,58000,22089460
2020.08.12,59000,상승  800,58200,59000,57700,18573934
2020.08.11,58200,상승  400,58000,59500,57800,24907912
2020.08.10,57800,상승  300,57600,58300,57500,17774291
2020.08.07,57500,하락  500,57900,58400,57100,18751717
2020.08.06,58000,"상승  1,100",57100,58400,57100,21625874
2020.08.05,56900,하락  400,57300,57500,56300,17739706
2020.08.04,57300,상승  500,57200,58100,57000,19419694
2020.08.03,56800,"하락  1,100",57800,57900,56700,21158940
2020.07.31,57900,"하락  1,100",59500,59600,57700,21943345
2020.07.30,59000,보합0,59700,60100,59000,19285354
2020.07.29,59000,상승  400,60300,60400,58600,36476611
2020.07.28,58600,"상승  3,000",57000,58800,56400,48431566
2020.07.27,55600,"상승  1,400",54300,55700,54300,21054421
2020.07.24,54200,상승  100,54000,54400,53700,10994535
2020.07.23,54100,하락  600,54700,54700,53800,16214932
2020.07.22,54700,하락  600,55300,55500,54700,12885057
2020.07.21,55300,"상승  1,100",55200,55400,54800,18297260
2020.07.20,54200,하락  200,54800,54800,54000,10507530
2020.07.17,54400,상승  600,54200,54700,54100,10096174
2020.07.16,53800,하락  900,54800,54800,53800,16779127
2020.07.15,54700,상승  900,54400,55000,54300,24051450
2020.07.14,53800,상승  400,53700,53800,53200,14269484
2020.07.13,53400,상승  700,53300,53800,53100,12240188
2020.07.10,52700,하락  100,53100,53200,52300,13714746
2020.07.09,52800,하락  200,53200,53600,52800,17054850
2020.07.08,53000,하락  400,53600,53900,52900,19664652
2020.07.07,53400,"하락  1,600",55800,55900,53400,30760032
2020.07.06,55000,"상승  1,400",54000,55000,53800,19856623
2020.07.03,53600,상승  700,53000,53600,52700,11887868
2020.07.02,52900,상승  300,52100,52900,52100,14142583
2020.07.01,52600,하락  200,53400,53600,52400,16706143
2020.06.30,52800,상승  400,53900,53900,52800,21157172
2020.06.29,52400,하락  900,52500,53200,52000,17776925
2020.06.26,53300,"상승  1,400",52800,53900,52200,21575360
2020.06.25,51900,"하락  1,000",52100,53000,51900,18541624
2020.06.24,52900,"상승  1,500",51900,53900,51600,24519552
2020.06.23,51400,하락  600,52500,52800,51100,18086152
2020.06.22,52000,하락  900,52000,52600,51800,13801350
2020.06.19,52900,상승  600,52600,52900,51600,18157985
2020.06.18,52300,상승  100,52200,52300,51600,15982926
2020.06.17,52200,상승  100,52100,52900,51300,26672595
2020.06.16,52100,"상승  2,200",51200,52100,50600,21808375
2020.06.15,49900,"하락  2,400",51400,52000,49900,28772921
2020.06.12,52300,"하락  2,000",52100,52800,51500,26976019
2020.06.11,54300,"하락  1,100",54500,55100,53200,33815123
2020.06.10,55400,하락  100,55100,55900,54900,16742493
2020.06.09,55500,상승  600,55800,56500,54400,23998831
2020.06.08,54900,하락  600,56400,56500,54700,25634965
2020.06.05,55500,상승  900,54400,55900,54000,22743629
2020.06.04,54600,상승  100,55800,57000,54600,40220334
2020.06.03,54500,"상승  3,100",51800,55000,51700,49257814
2020.06.02,51400,상승  200,51000,51500,50800,14247933
2020.06.01,51200,상승  500,50800,51200,50600,16949183
2020.05.29,50700,상승  300,50000,50700,49700,27596961
